gene,fam5,fam8,fam14,fam7,fam16,fam12,fam17,fam6,fam18,fam4,fam19,fam15
gfi1aa,,,,1,,,,,,,,
hnf4g,1,,1,1,1,1,,1,,1,1,1
irx6a,1,1,,1,1,,,,1,1,,
mh1,,1,1,,1,1,,1,1,1,,
osr1,,,,1,1,1,1,1,,,,1
six2b,,1,,,1,1,1,,,,,1
sox18,,,1,1,1,,,1,1,,,
wt1a,1,1,,1,1,,1,1,,,1,
blf,1,1,,1,1,,,,,1,,
drl,1,,,1,1,,,1,1,1,1,1
drll.1,1,,,1,1,1,,1,1,1,,1
drll.2,1,,,1,1,1,,1,1,1,,1
elf1,,,,1,1,1,,,,1,1,
gata1a,,1,1,1,1,,,,,,1,1
hand2,,1,,1,1,,1,1,,1,,1
isl2a,1,1,,1,1,,,1,1,,,
mecp2,1,1,,1,1,1,1,,,,,
myb,1,1,1,,1,1,1,,1,,,
nkx2.5,,1,1,1,1,,1,,1,1,1,
nkx2.7,,1,1,1,1,,1,1,1,,,
pax1b,,,,,1,1,,,,,,1
pitx3,1,1,1,,1,1,1,1,1,1,1,
pknox2,,1,,1,1,,,,1,,,
rarga,,1,,,1,1,,,1,1,,
six1a,,1,1,1,1,,,,,,1,
six1b,1,1,,1,1,,1,,1,1,1,
six4b,,,1,1,1,1,,,,,1,
sox7,,,1,,,,,1,,1,,
spi1b,1,1,,1,1,,,,1,1,1,1
tal1,,1,,,1,1,,,,1,,
tbx1,1,,1,1,1,,1,,1,1,1,1
tbx20,1,,1,1,1,1,1,1,1,1,,
znf653,,1,,,1,,,1,,1,,